stations,trainCode
JL,12138
WR,12139
KJM,12295
KPN,12295
BPQ,12295
GMO,12311
FTP,12311
GWL,12616
JHS,12616
MTJ,12616
ERS,12617
AWY,12617
TCR,12617
SRR,12617
PTB,12617
KTU,12617
TIR,12617
PGI,12617
FK,12617
CLT,12617
QLD,12617
BDJ,12617
TLY,12617
CAN,12617
PAZ,12617
PAY,12617
NLE,12617
KZE,12617
KGQ,12617
MAJN,12617
UD,12617
KUDA,12617
BTJL,12617
KT,12617
KAWR,12617
MAO,12617
THVM,12617
KKW,12617
RN,12617
CHI,12617
FDB,12617
QLN,12625
NLR,12625
CD,12625
SPE,12656
NLR,12656
TEL,12656
WL,12656
CD,12656
WRR,12656
HGT,12656
PLO,12656
DMN,12656
SEG,12656
NN,12656
MKU,12656
JL,12656
DXG,12656
SNK,12656
DDE,12656
UDN,12656
AKV,12656
MAN,12656
SKZR,12722
BPA,12722
MCI,12722
RDM,12722
PDPL,12722
JMKT,12722
KZJ,12722
ZN,12722
BG,12722
SC,12722
HYB,12722
CLX,12840
BPP,12840
TEL,12840
BZA,12840
RJY,12840
CPP,12840
NWP,12840
SPT,12840
IPM,12840
CAP,12840
BALU,12840
JJKR,12840
SRC,12840
NZM,12925
UMB,12925
